"","individualID","climbID","microchipID","birthID","matingID","individualIdSource","materialOrigin","sex","species","generation","dateBirth","ageDeath","ageDeathUnits","brainWeight","rodentWeight","rodentDiet","bedding","room","waterpH","stockNumber","genotype","genotypeBackground","individualCommonGenotype","modelSystemName","officialName"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",32043,298456,288646853,"RMO1223","M-108-17","JAX","JAX","female","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.503,28.76,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"16",32044,298457,289822454,"RMO1223","M-108-17","JAX","JAX","male","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.482,46.51,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"17",32046,298459,289859181,"RMO1223","M-108-17","JAX","JAX","male","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.47,41,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"18",32047,298460,289777416,"RMO1223","M-108-17","JAX","JAX","male","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.454,42.89,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"19",32049,298462,288770010,"RMO1263","M-340-17","JAX","JAX","female","Mouse","N1F4",2018-03-20,10.7868852459016,"months",0.489,29.96,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"20",32057,298470,288827137,"RMO1267","M-342-17","JAX","JAX","female","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.464,32.9,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"21",32061,298474,289859111,"RMO1267","M-342-17","JAX","JAX","male","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.488,39.55,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"22",32065,298478,288679201,"RMO1255","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-22,10.7213114754098,"months",0.454,27.43,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"23",32067,298320,289478536,"RMO1255","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-22,10.7213114754098,"months",0.471,24.96,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"24",32070,298336,289859210,"RMO1256","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.507,29.02,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"25",32073,298339,289777413,"RMO1256","M-104-17","JAX","JAX","male","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.462,43.66,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"26",32074,298340,287499658,"RMO1256","M-104-17","JAX","JAX","male","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.488,43.53,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"27",46105,306633,NA,"RMO1902","M-950-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.414,30.94,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"28",46106,306634,NA,"RMO1902","M-950-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.431,26.14,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"29",46107,306635,NA,"RMO1902","M-950-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.451,25.24,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"30",46108,306636,NA,"RMO1902","M-950-17","JAX","JAX","male","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.442,35.45,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"31",46109,306637,NA,"RMO1902","M-950-17","JAX","JAX","male","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.424,33.27,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"32",46110,306638,NA,"RMO1902","M-950-17","JAX","JAX","male","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.438,32.76,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"33",46112,306644,NA,"RMO1911","M-952-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.447,34.97,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"34",46115,306647,NA,"RMO1932","M-952-17","JAX","JAX","female","Mouse","N1F4",2019-01-03,6.16393442622951,"months",0.453,34.05,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"35",46121,306658,NA,"RMO1950","M-953-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.464,30.4,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"36",46131,306668,NA,"RMO1910","M-949-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,4.22950819672131,"months",0.561,23.77,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"37",46138,306675,NA,"RMO1904","M-951-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,4.22950819672131,"months",0.511,26.28,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"38",46862,306319,NA,"RMO1905","M-946-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.482,19.4,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"39",46872,306329,NA,"RMO1912","M-954-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.396,38.53,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"40",46873,306330,NA,"RMO1912","M-954-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.428,33.14,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"41",46876,306333,NA,"RMO1912","M-954-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.448,33.48,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"42",46877,306334,NA,"RMO1903","M-951-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.497,33.41,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"43",46881,306338,NA,"RMO1906","M-947-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.541,23.61,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"44",46884,306341,NA,"RMO1906","M-947-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.499,32.35,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"45",46887,306344,NA,"RMO1907","M-947-17","JAX","JAX","female","Mouse","N1F4",2018-12-28,4.26229508196721,"months",0.529,23.61,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"46",46888,306345,NA,"RMO1907","M-947-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,4.26229508196721,"months",0.541,32.7,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"47",46891,306348,NA,"RMO1907","M-947-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,4.26229508196721,"months",0.507,30.25,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"48",46893,306350,NA,"RMO1908","M-948-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.537,25.37,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"49",46895,306352,NA,"RMO1908","M-948-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.501,30.52,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"50",46897,306354,NA,"RMO1908","M-948-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.514,35.8,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"51",32048,298461,288855717,"RMO1263","M-340-17","JAX","JAX","female","Mouse","N1F4",2018-03-20,10.7868852459016,"months",0.447,25.57,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"52",32050,298463,288773377,"RMO1263","M-340-17","JAX","JAX","female","Mouse","N1F4",2018-03-20,10.7868852459016,"months",0.447,24.67,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"53",32052,298465,NA,"RMO1264","M-340-17","JAX","JAX","female","Mouse","N1F4",2018-03-20,10.7868852459016,"months",0.495,24.88,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"54",32053,298466,289777098,"RMO1264","M-340-17","JAX","JAX","male","Mouse","N1F4",2018-03-23,10.6885245901639,"months",0.505,32.39,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"55",32059,298472,289776899,"RMO1267","M-342-17","JAX","JAX","male","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.472,30.95,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"56",32062,298475,289777602,"RMO1267","M-342-17","JAX","JAX","male","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.471,32.86,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"57",32068,298321,288696056,"RMO1255","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-22,10.7213114754098,"months",0.458,22.43,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"58",32075,298341,289777327,"RMO1256","M-104-17","JAX","JAX","male","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.439,29.32,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
