"","individualID","climbID","microchipID","birthID","matingID","individualIdSource","materialOrigin","sex","species","generation","dateBirth","ageDeath","ageDeathUnits","brainWeight","rodentWeight","rodentDiet","bedding","room","waterpH","stockNumber","genotype","genotypeBackground","individualCommonGenotype","modelSystemName","officialName"
"59",32078,298435,289859093,"RMO1265","M-341-17","JAX","JAX","female","Mouse","N1F4",2018-03-21,10.7540983606557,"months",0.474,23.03,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"60",32081,298438,289822191,"RMO1266","M-341-17","JAX","JAX","female","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.416,23.54,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"61",32088,298445,289859390,"RMO1266","M-341-17","JAX","JAX","male","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.438,32.22,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"62",32640,298671,286672772,"RMO1324","M-338-17","JAX","JAX","male","Mouse","N1F4",2018-03-27,10.5573770491803,"months",0.444,28.38,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"63",46111,306643,NA,"RMO1911","M-952-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.415,30.45,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"64",46113,306645,NA,"RMO1911","M-952-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.453,24.93,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"65",46132,306669,NA,"RMO1910","M-949-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.452,21.33,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"66",46134,306671,NA,"RMO1910","M-949-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,4.22950819672131,"months",0.512,25.13,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"67",46141,306678,NA,"RMO1904","M-951-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,4.22950819672131,"months",0.52,22.33,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"68",46142,306679,NA,"RMO1904","M-951-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,4.22950819672131,"months",0.502,20.85,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"69",46863,306320,NA,"RMO1905","M-946-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,6.39344262295082,"months",0.44,22.77,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"70",46865,306322,NA,"RMO1905","M-946-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,6.39344262295082,"months",0.424,38.29,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"71",46866,306323,NA,"RMO1905","M-946-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.527,31.37,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"72",46867,306324,NA,"RMO1905","M-946-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.466,29.18,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"73",46868,306325,NA,"RMO1905","M-946-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.487,30.12,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"74",46871,306328,NA,"RMO1912","M-954-17","JAX","JAX","female","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.469,23.3,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"75",46874,306331,NA,"RMO1912","M-954-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.422,36.84,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"76",46875,306332,NA,"RMO1912","M-954-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.426,29.63,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"77",46878,306335,NA,"RMO1903","M-951-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.514,31.94,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"78",46879,306336,NA,"RMO1903","M-951-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.533,32.57,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"79",46882,306339,NA,"RMO1906","M-947-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.547,22.38,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"80",46883,306340,NA,"RMO1906","M-947-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.512,23.1,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"81",46885,306342,NA,"RMO1906","M-947-17","JAX","JAX","female","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.531,23.39,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"82",46886,306343,NA,"RMO1907","M-947-17","JAX","JAX","female","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.433,24.23,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"83",46889,306346,NA,"RMO1907","M-947-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.452,30.94,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"84",46890,306347,NA,"RMO1907","M-947-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.424,32.5,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"85",46892,306349,NA,"RMO1907","M-947-17","JAX","JAX","male","Mouse","N1F4",2018-12-28,6.36065573770492,"months",0.491,30.54,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"86",46896,306353,NA,"RMO1908","M-948-17","JAX","JAX","male","Mouse","N1F4",2018-12-27,4.29508196721311,"months",0.499,28.78,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"87",32043,298456,288646853,"RMO1223","M-108-17","JAX","JAX","female","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.503,28.76,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_carrier","C57BL6J","5XFAD","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"88",32044,298457,289822454,"RMO1223","M-108-17","JAX","JAX","male","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.482,46.51,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"89",32046,298459,289859181,"RMO1223","M-108-17","JAX","JAX","male","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.47,41,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"90",32047,298460,289777416,"RMO1223","M-108-17","JAX","JAX","male","Mouse","N1F3",2018-03-19,10.8196721311475,"months",0.454,42.89,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"91",32049,298462,288770010,"RMO1263","M-340-17","JAX","JAX","female","Mouse","N1F4",2018-03-20,10.7868852459016,"months",0.489,29.96,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"92",32057,298470,288827137,"RMO1267","M-342-17","JAX","JAX","female","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.464,32.9,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"93",32061,298474,289859111,"RMO1267","M-342-17","JAX","JAX","male","Mouse","N1F4",2018-03-22,10.7213114754098,"months",0.488,39.55,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"94",32065,298478,288679201,"RMO1255","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-22,10.7213114754098,"months",0.454,27.43,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"95",32067,298320,289478536,"RMO1255","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-22,10.7213114754098,"months",0.471,24.96,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"96",32070,298336,289859210,"RMO1256","M-104-17","JAX","JAX","female","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.507,29.02,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"97",32073,298339,289777413,"RMO1256","M-104-17","JAX","JAX","male","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.462,43.66,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"98",32074,298340,287499658,"RMO1256","M-104-17","JAX","JAX","male","Mouse","N1F3",2018-03-23,10.6885245901639,"months",0.488,43.53,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"99",46105,306633,NA,"RMO1902","M-950-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.414,30.94,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"100",46106,306634,NA,"RMO1902","M-950-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.431,26.14,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"101",46107,306635,NA,"RMO1902","M-950-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.451,25.24,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"102",46108,306636,NA,"RMO1902","M-950-17","JAX","JAX","male","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.442,35.45,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"103",46109,306637,NA,"RMO1902","M-950-17","JAX","JAX","male","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.424,33.27,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"104",46110,306638,NA,"RMO1902","M-950-17","JAX","JAX","male","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.438,32.76,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"105",46112,306644,NA,"RMO1911","M-952-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.447,34.97,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"106",46115,306647,NA,"RMO1932","M-952-17","JAX","JAX","female","Mouse","N1F4",2019-01-03,6.16393442622951,"months",0.453,34.05,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"107",46121,306658,NA,"RMO1950","M-953-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,6.32786885245902,"months",0.464,30.4,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
"108",46131,306668,NA,"RMO1910","M-949-17","JAX","JAX","female","Mouse","N1F4",2018-12-29,4.22950819672131,"months",0.561,23.77,0.06,"aspen","JAX_MGL373",2.85,8730,"5XFAD_noncarrier","C57BL6J","C57BL6J","5XFAD","B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax"
